"","organisation_name","organisation_id","change_disc_inel_hh","change_disc_el_hh","net_change_hh","no_hholds_discretionary_v.x","no_hholds_discretionary_ineligible_v.x","no_hholds_discretionary_v.y","no_hholds_discretionary_ineligible_v.y"
"267","Harlow District Council","E07000073",2,-2,0,NA,NA,NA,NA
"268","Exeter City Council","E07000041",4,0,4,"The December data return was taken from the claim data we collated and was inaccurate, these figures have now been taken from our financial output and are the correct figures, I confirm that no payments were made after 30/11/2022",NA,"The December data return was taken from the claim data we collated and was inaccurate, these figures have now been taken from our financial output and are the correct figures, I confirm that no payments were made after 30/11/2022",NA
"269","Stevenage Borough Council","E07000243",1,-1,0,NA,NA,NA,NA
"270","Hyndburn Borough Council","E07000120",0,0,0,NA,NA,NA,NA
"271","London Borough of Richmond upon Thames","E09000027",0,0,0,NA,NA,NA,NA
"272","Southwark London Borough","E09000028",0,0,0,NA,NA,NA,NA
"273","Medway Council","E06000035",0,0,0,NA,NA,NA,NA
"274","Peterborough City Council","E06000031",2,-2,0,NA,NA,NA,NA
"275","Milton Keynes Council","E06000042",7,0,7,NA,NA,NA,NA
"276","Sunderland City Council","E08000024",8,-8,0,NA,NA,NA,NA
"277","Hertsmere Borough Council","E07000098",4,-30,-26,NA,NA,NA,NA
"278","St Helens Council","E08000013",0,0,0,NA,NA,NA,NA
"279","Newham London Borough","E09000025",0,0,0,NA,NA,NA,NA
"280","Tunbridge Wells Borough Council","E07000116",2,-2,0,NA,NA,NA,NA
"281","Havering London Borough","E09000016",0,0,0,NA,NA,NA,NA
"282","Blaby District Council","E07000129",0,0,0,NA,NA,NA,NA
"283","North West Leicestershire District Council","E07000134",0,-1,-1,NA,NA,NA,NA
"284","Uttlesford District Council","E07000077",2,-4,-2,NA,NA,NA,NA
"285","Barnsley Metropolitan Borough Council","E08000016",0,-42,-42,NA,NA,NA,NA
"286","Coventry City Council","E08000026",4,-16,-12,NA,NA,NA,NA
"287","Basildon Borough Council","E07000066",-1,-10,-11,NA,"We found 1 account where there was not overpayment for energy rebate and have amended the amount",NA,"We found 1 account where there was not overpayment for energy rebate and have amended the amount"
"288","South Gloucestershire Council","E06000025",0,0,0,NA,NA,NA,NA
"289","Ribble Valley Borough Council","E07000124",0,0,0,NA,NA,NA,NA
"290","Buckinghamshire UA","E06000060",4,-515,-511,NA,NA,NA,NA
"291","Durham County UA","E06000047",-9,-109,-118,NA,"In some cases, where the Discretionary payment had been applied to the Council Tax account and due to a retrospective change in liability there was no entitlement, we were able to remove the payment (as no bill had been issued) so a clawback was not required.",NA,"In some cases, where the Discretionary payment had been applied to the Council Tax account and due to a retrospective change in liability there was no entitlement, we were able to remove the payment (as no bill had been issued) so a clawback was not required."
"292","East Suffolk Council","E07000244",6,-6,0,NA,NA,NA,NA
"293","Bromsgrove District Council","E07000234",0,0,0,NA,NA,NA,NA
"294","West Oxfordshire District Council","E07000181",0,-1,-1,NA,NA,NA,NA
"295","Rother District Council","E07000064",125,-15,110,NA,NA,NA,NA
"296","Reading Borough Council","E06000038",0,-35,-35,NA,NA,NA,NA
"297","Bolton Metropolitan Borough Council","E08000001",0,0,0,NA,NA,NA,NA
"298","City of York Council","E06000014",3,0,3,NA,NA,NA,NA
"299","Tendring District Council","E07000076",12,-10,2,NA,NA,NA,NA
"300","Ashford Borough Council","E07000105",2,-7,-5,NA,NA,NA,NA
"301","Hull City Council","E06000010",0,0,0,NA,NA,NA,NA
"302","City of London","E09000001",0,0,0,NA,NA,NA,NA
"303","North Norfolk District Council","E07000147",0,-1,-1,NA,NA,NA,NA
"304","Craven District Council","E07000163",0,0,0,NA,NA,NA,NA
"305","Croydon London Borough","E09000008",0,0,0,NA,NA,NA,NA
"306","Great Yarmouth Borough Council","E07000145",-6,8,2,"We have completed the final reconciliation for the return and identified due to misunderstanding the software report previous figures were entered incorrectly.","We have completed the final reconciliation for the return and identified due to misunderstanding the software report previous figures were entered incorrectly.","We have completed the final reconciliation for the return and identified due to misunderstanding the software report previous figures were entered incorrectly.","We have completed the final reconciliation for the return and identified due to misunderstanding the software report previous figures were entered incorrectly."
"307","Epsom and Ewell Borough Council","E07000208",3,-3,0,NA,NA,NA,NA
"308","Bath and North East Somerset Council","E06000022",27,0,27,NA,NA,NA,NA
"309","Woking Borough Council","E07000217",0,21,21,"Adjustments for bounced payments",NA,"Adjustments for bounced payments",NA
